Item Number,Description,Size 1,Size 2,Store,Dept.,Category,SubCat,Vendor,Order Number,OnHand,OnOrder,Layaway,Committed,Cost,PriceUnits,Price,YTD Sales,OrdPt,OrdUp2,LastSale,G/L,Bin Location
802,Custom Mu Zeta Black Fleece jacket,M,BLACK,1,7,!Undefined,!Undefined,88,CHARLES RIVER - 5870,0,0,0,0,25,1,32,0,0,0,20110228,120010,
802,Custom Mu Zeta Black Fleece jacket,S,BLACK,1,7,!Undefined,!Undefined,88,CHARLES RIVER - 5870,0,0,0,0,25,1,32,0,0,0,20110228,120010,
802,Custom Mu Zeta Black Fleece jacket,XL,BLACK,1,7,!Undefined,!Undefined,88,CHARLES RIVER - 5870,0,0,0,0,25,1,32,0,0,0,20110228,120010,
803,Custom charm bracelet,,,1,7,!Undefined,!Undefined,314,803,0,0,0,0,45,1,60,0,0,0,20130916,120010,
804,Lilly iPhone 5 case,,,1,3,!Undefined,!Undefined,363,130105,0,0,0,0,14.5,1,30,30,0,0,20141114,120010,
805,"Double Tassel Bracelet-7.25""",,,1,4,!Undefined,!Undefined,416,38008,7,26,0,0,4.5,1,14,92.4,0,0,20150707,120010,
806,Greek Key Convertible Cooler Bag,,,1,3,!Undefined,!Undefined,416,37947,17,0,0,0,7.8333,1,24,240,0,0,20150814,120010,
807,"XO Flourish banner (8' x 3"")",,,1,7,!Undefined,!Undefined,47,807,0,0,0,0,175,1,225,0,0,0,20070820,120010,
808,Custom Theta Lambda Family Weekend tee,L,RED,1,7,!Undefined,!Undefined,369,GILDAN 5000 MAROON,0,0,0,0,10,1,12.5,0,0,0,20140923,120010,
808,Custom Theta Lambda Family Weekend tee,M,RED,1,7,!Undefined,!Undefined,369,GILDAN 5000 MAROON,0,4,0,0,10,1,12.5,0,0,0,20140923,120010,
808,Custom Theta Lambda Family Weekend tee,S,RED,1,7,!Undefined,!Undefined,369,GILDAN 5000 MAROON,0,0,0,0,10,1,12.5,0,0,0,20140923,120010,
808,Custom Theta Lambda Family Weekend tee,XL,RED,1,7,!Undefined,!Undefined,369,GILDAN 5000 MAROON,-13,10,0,0,10,1,12.5,0,0,0,20140923,120010,
808,Custom Theta Lambda Family Weekend tee,XXL,RED,1,7,!Undefined,!Undefined,369,GILDAN 5000 MAROON,0,0,0,0,10,1,12.5,0,0,0,20140923,120010,
808,Custom Theta Lambda Family Weekend tee,XXXL,RED,1,7,!Undefined,!Undefined,369,GILDAN 5000 MAROON,0,0,0,0,10,1,12.5,0,0,0,20140923,120010,
